product_group,automated_status,month_of_send,year_of_send,automated_projects,delivery_label,campaign_code,number_of_sends,delivery_channel,automated_sends,manual_sends,total_broadcast_sends
product 3,Automated,1,2021,Campaign_936,Campaign_936_VF10,JQ58,974,Email,1,0,974
product 3,Automated,3,2021,Campaign_719,Campaign_719_KK86,VZ40,942,Email,1,0,942
product 3,Automated,4,2021,Campaign_905,Campaign_905_QN99,YZ52,936,Email,1,0,936
product 3,Automated,7,2021,Campaign_766,Campaign_766_TR98,DX15,934,Email,1,0,934
product 3,Automated,8,2021,Campaign_898,Campaign_898_LX10,TY90,924,Email,1,0,924
product 3,Automated,6,2021,Campaign_440,Campaign_440_CL49,EA21,894,Email,1,0,894
product 3,Automated,2,2021,Campaign_895,Campaign_895_PR99,UM12,863,Email,1,0,863
product 3,Automated,5,2021,Campaign_652,Campaign_652_ZC49,AD94,611,Email,1,0,611
product 3,Automated,9,2021,Campaign_292,Campaign_292_YG61,XO15,462,Email,1,0,462
product 5,Automated,3,2021,Campaign_234,Campaign_234_OF60,LQ27,459,Email,1,0,459
product 5,Automated,1,2021,Campaign_112,Campaign_112_FY11,WL20,432,Email,1,0,432
product 5,Automated,4,2021,Campaign_496,Campaign_496_AC92,KM24,386,Email,1,0,386
product 3,Automated,5,2021,Campaign_908,Campaign_908_ZN14,KT69,385,Email,1,0,385
product 5,Automated,8,2021,Campaign_657,Campaign_657_FT18,TN63,374,Email,1,0,374
product 5,Automated,5,2021,Campaign_683,Campaign_683_WM39,ZZ54,354,Email,1,0,354
product 5,Automated,2,2021,Campaign_929,Campaign_929_JU74,LQ46,346,Email,1,0,346
product 3,Automated,3,2021,Campaign_9,Campaign_9_MV50,FS56,324,Mobile (SMS),1,0,324
product 3,Automated,3,2021,Campaign BG,Campaign BG_TD57,IZ92,315,Web Message,1,0,315
product 5,Automated,7,2021,Campaign_79,Campaign_79_BZ51,HY29,306,Email,1,0,306
product 5,Automated,6,2021,Campaign_448,Campaign_448_HB24,WH38,234,Email,1,0,234
product 3,Automated,2,2021,Campaign BG,Campaign BG_KB89,QB84,231,Web Message,1,0,231
product 3,Automated,4,2021,Campaign_893,Campaign_893_DD61,RZ50,230,Mobile (SMS),1,0,230
product 3,Automated,3,2021,Campaign BG,Campaign BG_IQ14,ES77,221,Web Message,1,0,221
product 3,Automated,1,2021,Campaign_484,Campaign_484_FS83,TZ91,220,Mobile (SMS),1,0,220
product 5,Automated,9,2021,Campaign_571,Campaign_571_ID59,EQ73,217,Email,1,0,217
product 3,Automated,2,2021,Campaign_619,Campaign_619_AI46,IX82,185,Mobile (SMS),1,0,185
product 3,Automated,4,2021,Campaign BG,Campaign BG_ZX72,PD93,171,Web Message,1,0,171
product 3,Automated,2,2021,Campaign BG,Campaign BG_HX27,UO11,145,Web Message,1,0,145
product 3,Automated,8,2021,Campaign_986,Campaign_986_FK83,BY95,131,Mobile (SMS),1,0,131
product 3,Automated,3,2021,Campaign_823,Campaign_823_AH93,SR13,128,Email,1,0,128
product 3,Automated,3,2021,Campaign_701,Campaign_701_DR20,MF96,126,Email,1,0,126
product 3,Automated,5,2021,Campaign_849,Campaign_849_YX47,SA58,123,Email,1,0,123
product 3,Automated,4,2021,Campaign_144,Campaign_144_KR76,SZ96,120,Email,1,0,120
product 3,Automated,8,2021,Campaign_981,Campaign_981_SQ44,AB92,118,Email,1,0,118
product 3,Automated,6,2021,Campaign_81,Campaign_81_SC25,PT40,117,Email,1,0,117
product 3,Automated,7,2021,Campaign_621,Campaign_621_UU82,DP58,116,Email,1,0,116
product 3,Automated,1,2021,Campaign_665,Campaign_665_QL13,DN72,111,Email,1,0,111
product 3,Automated,4,2021,Campaign_376,Campaign_376_DE78,UO45,107,Email,1,0,107
product 3,Automated,4,2021,Campaign BG,Campaign BG_KG70,JP57,106,Web Message,1,0,106
product 3,Automated,2,2021,Campaign_784,Campaign_784_SS33,OE90,105,Email,1,0,105
product 3,Automated,8,2021,Campaign BG,Campaign BG_LX70,UD84,103,Web Message,1,0,103
product 3,Automated,2,2021,Campaign_66,Campaign_66_YP59,UP75,102,Email,1,0,102
product 3,Automated,5,2021,Campaign_991,Campaign_991_MN21,RV24,99,Email,1,0,99
product 3,Automated,1,2021,Campaign BG,Campaign BG_EI36,AK50,96,Web Message,1,0,96
product 1,Automated,3,2021,Campaign_427,Campaign_427_QV71,ND74,95,Email,1,0,95
product 3,Automated,9,2021,Campaign_781,Campaign_781_WG47,ZC16,92,Mobile (SMS),1,0,92
product 3,Automated,6,2021,Campaign_146,Campaign_146_JI61,KB36,91,Email,1,0,91
product 3,Automated,7,2021,Campaign_63,Campaign_63_XC83,SJ78,87,Email,1,0,87
product 5,Automated,3,2021,Campaign Z,Campaign Z_GW86,UK54,86,Email,1,0,86
product 5,Automated,3,2021,Campaign Z,Campaign Z_YY74,NV41,83,Email,1,0,83
product 5,Automated,4,2021,Campaign Z,Campaign Z_UG14,IL50,79,Email,1,0,79
product 1,Automated,4,2021,Campaign_306,Campaign_306_MV82,PE32,79,Email,1,0,79
product 5,Automated,8,2021,Campaign Z,Campaign Z_EB19,DO78,78,Email,1,0,78
